N,P,K,temperature,humidity,ph,rainfall,label
94,53,40,20.27774362,82.89408619,5.718627178,241.9741949,rice
89,54,38,24.51588066,83.5352163,6.685346424,230.4462359,rice
68,58,38,23.22397386,83.03322691,6.336253525,221.2091958,rice
91,53,40,26.52723513,81.41753846,5.386167788,264.6148697,rice
90,52,25,25.97482359,69.36385721,6.822586546,103.2234212,maize
68,40,19,26.14384005,66.20569924,6.655426355,107.2361366,maize
60,57,24,18.66116213,61.55327249,6.121294041,75.03247667,maize
71,52,18,25.10787449,55.97732754,5.790770203,78.16077693,maize
43,68,81,17.47809436,17.93253975,6.761599706,78.92060234,chickpea
28,76,82,20.56601874,14.25803981,6.654425315,83.75937135,chickpea
42,79,85,17.22385224,15.82069268,6.129533877,76.57580954,chickpea
32,60,83,19.69141713,19.44225438,8.829273328,91.76071648,chickpea
3,67,24,17.00067625,19.90790546,5.520880014,103.2926407,kidneybeans
35,69,23,16.78791503,24.96881755,5.578410206,75.45328039,kidneybeans
3,77,25,24.84906168,22.89464642,5.608165195,62.21292186,kidneybeans
23,62,19,16.51783455,20.4555596,5.609435128,98.77794225,kidneybeans
3,60,19,25.74679443,40.7192594,4.820788186,100.7791633,pigeonpeas
5,77,19,31.08564994,66.68832981,6.242052013,175.9303271,pigeonpeas
5,68,20,18.72987676,61.33186249,5.001038726,139.8710041,pigeonpeas
37,73,21,29.50304807,63.46513414,5.560224583,189.5208915,pigeonpeas
26,50,19,27.3179125,51.66921088,6.005242945,32.55919573,mothbeans
36,56,20,25.4123765,49.66474269,7.437078236,31.87416982,mothbeans
8,60,18,31.21629982,46.01868196,3.808429173,53.1205277,mothbeans
24,37,21,30.573999,58.22686794,5.818219385,62.74803826,mothbeans
0,49,18,29.68361658,87.93598094,6.990095452,41.82490236,mungbean
21,39,20,28.14448546,82.1193047,7.064782138,46.75690086,mungbean
28,35,22,29.53037621,86.73346018,7.156563094,59.87232071,mungbean
17,52,17,27.88352946,86.45147631,6.364967184,44.64407105,mungbean
55,67,16,34.37329112,69.69366426,6.596719015,70.27184748,blackgram
23,70,15,34.6008247,63.11296779,7.403623355,60.41790253,blackgram
53,74,15,29.43463808,64.94329356,7.517097,72.17818157,blackgram
26,67,16,29.10713092,67.90577375,7.17620823,67.83345933,blackgram
37,62,22,24.02037872,61.62313345,7.397546271,49.78102578,lentil
31,60,24,25.40474421,65.8567539,7.722335992,51.92057267,lentil
22,67,22,29.03017561,64.49166566,7.475926645,54.9393771,lentil
3,78,18,20.21368219,68.65257685,6.887130053,50.89732989,lentil
0,17,42,23.20242586,91.19442671,6.859840821,109.0946323,pomegranate
2,21,44,18.92157197,87.31290342,6.56893406,102.8013275,pomegranate
28,6,40,22.10621387,91.34039616,6.769855664,106.8704803,pomegranate
8,23,44,18.47412402,89.68919664,7.130837931,108.4758509,pomegranate
82,78,46,25.05802193,84.97323747,5.738678895,110.4408803,banana
106,70,55,25.86824781,78.52399914,5.74055541,116.3019555,banana
90,86,52,25.85036988,81.95580471,5.793260262,119.0856171,banana
83,95,50,26.51682337,77.79913575,5.50947065,108.8547508,banana
5,19,25,27.3511056,54.43945147,6.441328044,96.27792547,mango
37,36,26,32.89300162,52.61323969,4.650536197,94.49161372,mango
21,31,32,35.38598705,51.42664176,5.254532213,90.29643888,mango
37,36,27,27.5529736,47.90859131,5.910634533,90.40332704,mango
6,125,204,27.92004934,82.93262435,5.733539807,69.92092839,grapes
32,138,197,9.535585543,80.73112694,5.908724337,69.44115171,grapes
11,124,204,13.42988625,80.06633966,6.361141107,71.40043037,grapes
23,138,200,9.851242629,80.22631717,5.96537863,68.42802444,grapes
107,10,49,25.83202912,89.00481725,6.755192025,45.24690619,watermelon
115,11,46,24.41592661,89.39655519,6.623167177,40.32161859,watermelon
84,25,52,24.37190239,81.2514818,6.12532356,44.20899581,watermelon
120,7,47,24.24782473,83.03687902,6.653867608,54.7657624,watermelon
95,30,52,29.48069921,90.33698678,6.640470863,26.0365768,muskmelon
115,12,52,27.51492243,94.96218673,6.685553129,21.01796432,muskmelon
120,25,50,28.05457761,94.81637388,6.327210469,21.84869328,muskmelon
102,11,45,29.03167341,93.12603235,6.35544263,24.15591199,muskmelon
2,123,205,22.36629253,90.78572467,5.739652177,124.9831618,apple
15,133,199,23.99686172,91.61001707,5.824778636,117.6102915,apple
31,130,198,21.80129837,92.73446667,5.554823557,120.0586671,apple
25,143,200,23.80436344,92.80441624,6.024248787,100.6192543,apple
0,23,15,22.56664172,93.37488907,7.598729065,109.8585753,orange
24,27,9,18.86883219,93.24688124,6.157135092,119.3936976,orange
36,11,13,17.34083741,93.04897191,7.1917274,112.7194284,orange
40,21,8,34.90665289,92.87820148,7.418761774,102.1906333,orange
50,47,48,24.63676897,90.61964344,6.712772333,218.2299187,papaya
43,50,48,28.28222883,91.37059792,6.63016515,179.2720807,papaya
60,46,53,24.48620746,92.98254537,6.761953186,183.49095,papaya
70,68,55,42.84609252,94.63548176,6.691202286,78.8099639,papaya
37,10,32,28.96318258,95.16333673,6.165084855,222.803013,coconut
20,29,27,25.09897688,92.36099489,6.047044342,157.7592626,coconut
31,29,35,27.1872282,92.19906776,6.137102505,141.3220576,coconut
17,30,27,29.03065024,90.79093862,5.894027065,205.5720367,coconut
111,53,19,23.96436009,78.02763149,6.419536555,84.63148859,cotton
122,48,16,24.65425757,75.6350708,6.307585854,61.82980133,cotton
108,46,17,24.3017998,84.87668973,6.93221485,65.0247867,cotton
132,41,22,24.29144926,81.02453404,7.810865753,90.41694635,cotton
62,56,35,25.97825807,81.65769588,6.235357638,163.3488091,jute
84,40,42,26.2830571,73.35763537,6.704273839,186.6898282,jute
100,56,40,26.38905406,83.31240346,7.433313409,176.1516409,jute
75,56,44,25.2746335,73.7459581,6.109478059,168.0432282,jute
100,40,35,27.56441788,54.41094079,6.955787351,177.816092,coffee
108,35,25,23.98143338,61.10935084,6.971963169,161.5279095,coffee
115,31,30,24.22984659,67.37768353,6.840927967,122.4073418,coffee
87,28,30,25.60153969,68.66257977,6.536676653,168.8383605,coffee
